"","5","8","12","16","20","24"
"TRINITY_DN132381_c0_g1",19,14,38,3,27,15
"TRINITY_DN134626_c0_g1",8,10,9,22,14,11
"TRINITY_DN134697_c0_g1",7,8,33,35,18,10
"TRINITY_DN134772_c0_g3",78,61,93,78,50,64
"TRINITY_DN135381_c1_g1",50,53,30,58,49,30
"TRINITY_DN135953_c0_g1",21,7,32,22,16,14
"TRINITY_DN135924_c0_g1",56,7,43,94,91,68
"TRINITY_DN136088_c0_g1",5,11,11,15,19,12
"TRINITY_DN136023_c0_g2",35,31,29,61,0,16
"TRINITY_DN136349_c0_g2",16,10,39,8,10,43
"TRINITY_DN136602_c0_g1",14,31,18,18,27,8
"TRINITY_DN136647_c0_g2",28,66,80,46,84,66
"TRINITY_DN137358_c0_g1",6,15,11,32,24,29
"TRINITY_DN137484_c0_g1",25,12,26,36,81,25
"TRINITY_DN137432_c0_g1",15,22,7,32,25,25
"TRINITY_DN137535_c0_g1",36,24,41,17,11,45
"TRINITY_DN139289_c0_g2",15,26,22,12,24,6
"TRINITY_DN139253_c1_g1",5,8,34,14,10,17
"TRINITY_DN139259_c0_g2",6,18,59,18,15,23
"TRINITY_DN139292_c0_g1",8,0,22,9,12,22
"TRINITY_DN139364_c4_g1",24,22,22,13,6,11
