ColonyID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR-13,hot,1,10,TP4,Heatwave,20220404,IMG_8088,194.485,71.382,164.872,158.346,134.074,78.158,Emma,Tank photo = IMG_8087
ACR-14,hot,2,8,TP4,Heatwave,20220404,IMG_8084,209.12,75.906,170.872,177.852,159.789,106.532,Emma,Tank photo = IMG_8083
ACR-15,hot,3,20,TP4,Heatwave,20220404,IMG_8110,224.234,97.025,200.328,162.525,138.763,80.069,Emma,Tank photo = IMG_8109
ACR-16,hot,4,18,TP4,Heatwave,20220404,IMG_8104,204.519,81.474,176.85,165.775,150.025,97.982,Emma,Tank photo = IMG_8105
ACR-17,hot,5,4,TP4,Heatwave,20220404,IMG_8076,195.522,73.683,167,154.253,132.02,70.016,Emma,Tank photo = IMG_8075
ACR-18,hot,6,22,TP4,Heatwave,20220404,IMG_8115,197.512,70.749,161.251,148.99,120.741,57.213,Emma,Tank photo = IMG_8114
ACR-19,hot,7,16,TP4,Heatwave,20220404,IMG_8100,241.391,102.163,212.148,180.891,152.726,95.231,Emma,Tank photo = IMG_8101
ACR-20,hot,8,2,TP4,Heatwave,20220404,IMG_8072,215.943,92.091,194.151,162.088,143.874,90.009,Emma,Tank photo = IMG_8071
ACR-21,hot,9,15,TP4,Heatwave,20220404,IMG_8099,232.711,101.12,200.582,148.091,127.277,70.672,Emma,Tank photo = IMG_8098
ACR-22,hot,10,12,TP4,Heatwave,20220404,IMG_8092,225.555,92.236,197.636,164.023,134.898,84.221,Emma,Tank photo = IMG_8091
ACR-23,hot,11,23,TP4,Heatwave,20220404,IMG_8117,222.154,95.888,200.15,145.762,121.936,56.2,Emma,Tank photo = IMG_8116
ACR-24,hot,12,6,TP4,Heatwave,20220404,IMG_8080,187.213,62.549,156.837,136.353,114.99,61.03,Emma,Tank photo = IMG_8079
ACR-1,ambient,1,17,TP4,Heatwave,20220405,IMG_3821,215.346,72.727,169.963,188.85,148.662,107.04,Emma,Tank photo = IMG_3820
ACR-2,ambient,2,14,TP4,Heatwave,20220405,IMG_3812,216.421,88.614,199.808,195.067,168.223,127.048,Emma,Tank photo = IMG_3811
ACR-3,ambient,3,7,TP4,Heatwave,20220405,IMG_3793,193.444,71.214,178.491,148.965,123.616,62.879,Emma,Tank photo = IMG_3792
ACR-4,ambient,4,24,TP4,Heatwave,20220405,IMG_3846,215,83.201,181.909,183.723,162.601,100.745,Emma,Tank photo = IMG_3843
ACR-5,ambient,5,13,TP4,Heatwave,20220405,IMG_3809,201.099,69.349,177.179,182.554,153.568,114.434,Emma,Tank photo = IMG_3807
ACR-6,ambient,6,9,TP4,Heatwave,20220405,IMG_3799,225.019,101.731,202.379,161.849,130.928,84.31,Emma,Tank photo = IMG_3796
ACR-7,ambient,7,3,TP4,Heatwave,20220405,IMG_3782,213.22,79.921,189.96,180.525,160.406,104.497,Emma,Tank photo = IMG_3781
ACR-8,ambient,8,19,TP4,Heatwave,20220405,IMG_3827,202.129,76.329,183.287,166.925,140.093,99.04,Emma,Tank photo = IMG_3825
ACR-9,ambient,9,21,TP4,Heatwave,20220405,IMG_3831,223.201,87.705,192.297,169.48,142.097,78.674,Emma,Tank photo = IMG_3831
ACR-10,ambient,10,5,TP4,Heatwave,20220405,IMG_3788,189.359,77.596,177.679,185.11,155.373,103.449,Emma,Tank photo = IMG_3785
ACR-11,ambient,11,1,TP4,Heatwave,20220405,IMG_3778,207.585,83.891,181.86,163.237,135.643,68.452,Emma,Tank photo = IMG_3776
